"id","answer"
"1","Nunca "
"2","Cada mes o menos "
"3","2 a 4 veces al mes"
"4","2 o más veces a la semana"
"5","4 o más veces a la semana "
"6","1 a 2"
"7","3 a 4 "
"8","5 a 6 "
"9","7 a 9 "
"10","10 o más "
"11","Nunca"
"12","Menos de una vez al mes"
"13","Una vez al mes"
"14","Una vez a la semana"
"15","Diario o casi diario"
"16","No"
"17","Sí, pero no en el último año "
"18","Sí, durante el último año "
"19",""""""
"20","Nunca o casi nunca."
"21","A veces"
"22","Con frecuencia."
"23","Siempre o casi siempre."
"24","Completamente falso de mí"
"25","La mayor parte falso de mí"
"26","Ligeramente más verdadero que falso"
"27","Moderadamente verdadero de mí"
"28","La mayor parte verdadero de mí "
"29","Me describe perfectamente"
"30","Nunca "
"31","Rara vez "
"32","Algunas veces "
"33","Casi siempre "
"34","Siempre "
"35","Nunca"
"36","Raramente"
"37","Un poco"
"38","A veces"
"39","A menudo"
"40","Siempre"
"41","No es en absoluto mi caso"
"42","Algunas veces es mi caso"
"43","Bastantes veces es mi caso "
"44","Muchas veces es mi caso"
"45","más de 60 minutos"
"46","31 - 60 minutos"
"47","entre 6 y 30 minutos"
"48","hasta 5 minutos"
"49","No"
"50","Si"
"51","Cualquier otro"
"52","El primero de la mañana"
"53","10 ó menos"
"54","11 - 20"
"55","21 - 30"
"56","31 o más"
"57","Muy en desacuerdo"
"58","En desacuerdo"
"59","Ni de acuerdo ni en desacuerdo "
"60","De acuerdo"
"61","Muy de acuerdo"
"62","No me siento triste"
"63","Me siento triste."
"64","Me siento triste continuamente y no puedo dejar de estarlo."
"65","Me siento tan triste o tan desgraciado que no puedo soportarlo."
"66","No me siento especialmente desanimado respecto al futuro."
"67","Me siento desanimado respecto al futuro."
"68","Siento que no tengo que esperar nada."
"69","Siento que el futuro es desesperanzador y las cosas no mejorarán."
"70","No me siento fracasado."
"71","Creo que he fracasado más que la mayoría de las personas."
"72","Cuando miro hacia atrás, sólo veo fracaso tras fracaso."
"73","Me siento una persona totalmente fracasada."
"74","Las cosas me satisfacen tanto como antes."
"75","No disfruto de las cosas tanto como antes."
"76","Ya no obtengo una satisfacción auténtica de las cosas."
"77","Estoy insatisfecho o aburrido de todo."
"78","No me siento especialmente culpable."
"79","Me siento culpable en bastantes ocasiones."
"80","Me siento culpable en la mayoría de las ocasiones."
"81","Me siento culpable constantemente."
"82","No creo que esté siendo castigado."
"83","Me siento como si fuese a ser castigado."
"84","Espero ser castigado."
"85","Siento que estoy siendo castigado."
"86","No estoy decepcionado de mí mismo."
"87","Estoy decepcionado de mí mismo."
"88","Me da vergüenza de mí mismo."
"89","Me detesto."
"90","No me considero peor que cualquier otro."
"91","Me autocritico por mis debilidades o por mis errores."
"92","Continuamente me culpo por mis faltas."
"93","Me culpo por todo lo malo que sucede."
"94","No tengo ningún pensamiento de suicidio."
"95","A veces pienso en suicidarme, pero no lo cometería."
"96","Desearía suicidarme."
"97","Me suicidaría si tuviese la oportunidad."
"98","No lloro más de lo que solía llorar."
"99","Ahora lloro más que antes."
"100","Lloro continuamente."
"101","Antes era capaz de llorar, pero ahora no puedo, incluso aunque quiera."
"102","No estoy más irritado de lo normal en mí."
"103","Me molesto o irrito más fácilmente que antes."
"104","Me siento irritado continuamente."
"105","No me irrito absolutamente nada por las cosas que antes solían irritarme."
"106","No he perdido el interés por los demás."
"107","Estoy menos interesado en los demás que antes."
"108","He perdido la mayor parte de mi interés por los demás."
"109","He perdido todo el interés por los demás."
"110","Tomo decisiones más o menos como siempre he hecho."
"111","Evito tomar decisiones más que antes."
"112","Tomar decisiones me resulta mucho más difícil que antes."
"113","Ya me es imposible tomar decisiones."
"114","No creo tener peor aspecto que antes"
"115","Me temo que ahora parezco más viejo o poco atractivo. "
"116","Creo que se han producido cambios permanentes en mi aspecto que me hacen parecer poco atractivo"
"117","Creo que tengo un aspecto horrible"
"118","Trabajo igual que antes"
"119","Me cuesta un esfuerzo extra comenzar a hacer algo"
"120","Tengo que obligarme mucho para hacer algo"
"121","No puedo hacer nada en absoluto"
"122","Duermo tan bien como siempre"
"123","No duermo tan bien como antes."
"124","Me despierto una o dos horas antes de lo habitual y me resulta difícil volver a dormir"
"125","Me despierto una o dos horas antes de lo habitual y me resulta difícil volver a dormir"
"126","No me siento más cansado de lo normal"
"127","Me canso más fácilmente que antes"
"128","Me canso en cuanto hago cualquier cosa"
"129","Estoy demasiado cansado para hacer nada"
"130","Mi apetito no ha disminuido"
"131","Mi apetito no ha disminuido"
"132","Ahora tengo mucho menos apetito"
"133","He perdido completamente el apetito"
"134","Últimamente he perdido poco peso o no he perdido nada"
"135","He perdido más de 2 kilos y medio"
"136","He perdido más de 4 kilos"
"137","He perdido más de 7 kilos"
"138","Estoy a dieta para adelgazar"
"139","No estoy preocupado por mi salud más de lo normal"
"140","Estoy preocupado por problemas físicos como dolores, molestias, malestar de estómago o estreñimiento"
"141","Estoy preocupado por mis problemas físicos y me resulta difícil pensar algo más"
"142","Estoy tan preocupado por mis problemas físicos que soy incapaz de pensar en cualquier cosa"
"143","No he observado ningún cambio reciente en mi interés sexual"
"144","Estoy menos interesado por el sexo que antes. "
"145","Estoy mucho menos interesado por el sexo"
"146","He perdido totalmente mi interés por el sexo"
"147","Nunca"
"148","1 ó 2 veces"
"149","Cada mes"
"150","Cada semana"
"151","A diario o casi a diario"
"152","No, Nunca"
"153","Si, en los últimos 3 meses"
"154","Sí, pero no en los últimos 3 meses"
"155","Nada"
"156","Un poco"
"157","Mucho"
"158","Nunca he jugado dinero "
"159","Menos de 6 euros (menos de 20.496 pesos colombianos) "
"160","Entre 6 y 30 euros (entre 20.496 y 102.480 pesos colombianos) "
"161","Entre 30 y 60 euros (entre 102.480 y 204.960 pesos colombianos) "
"162","Entre 60 y 300 euros (entre 204.960 y 1.024.800 pesos colombianos) "
"163","Más de 300 euros (más de 1.024.800 pesos colombianos) "
"164","Mis padres juegan o han jugado demasiado"
"165","Mi padre juega o ha jugado demasiado"
"166","Mi madre juega o ha jugado demasiado"
"167","Ninguno de los dos juega o han jugado demasiado"
"168","Nunca"
"169","Algunas veces, pero menos de la mitad"
"170","La mayoría de las veces que pierdo"
"171","Siempre que pierdo "
"172","Sí, pero menos de la mitad de las veces que he perdido"
"173","La mayoría de las veces"
"174","No"
"175","Ahora no, pero en el pasado sí"
"176","Ahora sí "
"177","Sí "
"178","No "
"179","Nunca he fumado un cigarrillo entero "
"180","8 años o menos "
"181","9 o 10 años "
"182","11 o 12 años "
"183","13 o 14 años "
"184","15 o 16 años "
"185","17 años o más"
"186","Ningún día"
"187","1 o 2 días "
"188","3 a 5 días "
"189","6 a 9 días"
"190","10 a 19 días "
"191","20 a 29 días "
"192","Todos los 30 días "
"193","No he fumado cigarrillos durante los últimos 30 días "
"194","Menos de 1 cigarrillo al día "
"195","1 cigarrillo al día "
"196","2 a 5 cigarrillos al día "
"197","6 a 10 cigarrillos al día "
"198","11 a 20 cigarrillos al día "
"199","Más de 20 cigarrillos al día "
"200","No he fumado cigarrillos en los últimos 30 días "
"201","Los compro en una venta conocida o en el supermercado"
"202","Los mando a comprar "
"203","Se los pido a alguien "
"204","Me los robo "
"205","Los consigo de otra forma "
"206","Ningún día "
"207","1 a 2 días "
"208","3 a 5 días "
"209","6 a 9 días "
"210","10 a 19 días "
"211","20 a 29 días "
"212","Todos los 30 días "
"213","Si he intentado "
"214","No he intentado "
"215","Nunca he fumado "
"216","Nunca he tomado un trago de bebidas alcohólicas "
"217","8 años o menos "
"218","9 o 10 años "
"219","11 o 12 años "
"220","13 o 14 años "
"221","15 o 16 años "
"222","17 años o más "
"223","Ningún día "
"224","1 o 2 días "
"225","3 a 9 días "
"226","10 a 19 días "
"227","20 a 39 días "
"228","40 a 99 días "
"229","100 días o más "
"230","Ningún día "
"231","1 o 2 días "
"232","3 a 5 días "
"233","6 a 9 días "
"234","10 a 19 días "
"235","20 a 29 días "
"236","Todos los 30 días "
"237","Ningún día "
"238","1 o 2 días "
"239","3 a 5 días "
"240","6 a 9 días "
"241","10 a 19 días "
"242","20 a 29 días "
"243","Todos los 30 días "
"244","Nunca he probado la Marihuana "
"245","8 años o menos "
"246","9 o 10 años "
"247","11 o 12 años "
"248","13 o 14 años "
"249","15 o 16 años "
"250","17 años o más "
"251","Ninguna vez"
"252","1 o 2 veces "
"253","3 a 9 veces "
"254","10 a 19 veces "
"255","20 a 39 veces "
"256","40 a 99 veces "
"257","100 veces o más "
"258","Ninguna vez "
"259","1 o 2 veces "
"260","3 a 9 veces "
"261","10 a 19 veces "
"262","20 a 39 veces "
"263","40 veces o más "
"264","Nunca he probado Cocaína "
"265","8 años o menos "
"266","9 o 10 años "
"267","11 o 12 años "
"268","13 o 14 años"
"269","13 o 14 años"
"270","17 años o más "
"271","Ninguna vez "
"272","1 o 2 veces  "
"273","3 a 9 veces "
"274","10 a 19 veces "
"275","20 a 39 veces"
"276","40 veces o más "
"277","Ninguna vez "
"278","1 o 2 veces "
"279","3 a 9 veces "
"280","10 a 19 veces "
"281","20 a 39 veces "
"282","40 veces o más "
"283","Ninguna vez "
"284","1 o 2 veces "
"285","3 a 9 veces "
"286","10 a 19 veces "
"287","20 a 39 veces "
"288","40 veces o más "
"289","Ninguna vez "
"290","1 o 2 veces "
"291","3 a 9 veces "
"292","10 a 19 veces "
"293","20 a 39 veces "
"294","40 veces o más "
"295","Nunca"
"296","1 vez "
"297","2 veces o más "
"298","No"
"299","Si"
"300","Nunca"
"301","1 o 2 veces"
"302","Cada mes"
"303","Cada semana"
"304","A diario o casi a diario"
"305","No, nunca"
"306","Si, en los ultimos 3 meses"
"307","Si, pero no en los ultimos 3 meses"
