"id","test_id","question_id","order","question"
"1","1",,"1","¿Con qué frecuencia toma bebidas alcohólicas?"
"2","1",,"2","¿Cuántas copas toma en un día? "
"3","1",,"3","¿Con qué frecuencia toma seis o más copas en una sola ocasión?"
"4","1",,"4","¿Cuántas veces en el último año notó que una vez que comenzó a tomar ya no podía parar? "
"5","1",,"5","¿Cuántas veces en el último año el tomar bebidas alcohólicas interfirió con sus actividades normales?"
"6","1",,"6","¿Cuántas veces en el último año tuvo que tomar un primer trago por la mañana para poder funcionar después de haber tomado el día anterior?"
"7","1",,"7","¿Cuántas veces en el último año tuvo remordimiento o sentimientos de culpa después de tomar bebidas alcohólicas?"
"8","1",,"8","¿Cuántas veces en el último año no ha podido recordar lo que pasó la noche anterior debido a que tomó bebidas alcohólicas?"
"9","1",,"9"," Debido a que tomó bebidas alcohólicas, ¿usted o alguien ha resultado lastimado? "
"10","1",,"10"," ¿Existe algún amigo, pariente o médico que conozca su consumo de bebidas alcohólicas o que le haya sugerido suspenderlo? "
"11","12",,"1","Me siento más intranquilo(a) y nervioso(a) que de costumbre."
"12","12",,"2","Me siento atemorizado(a) sin motivo."
"13","12",,"3","Me altero o agito con rapidez."
"14","12",,"4","Me siento hecho(a) pedazos."
"15","12",,"5","Creo que todo está bien y que no va a pasar nada malo"
"16","12",,"6","Me tiemblan las manos, los brazos y las piernas."
"17","12",,"7","Sufro dolores de cabeza, de cuello y de la espalda."
"18","12",,"8","Me siento débil y me canso fácilmente."
"19","12",,"9","Me siento tranquilo(a) y me es fácil estarme quieto(a)."
"20","12",,"10","Siento que el corazón me late aprisa"
"21","12",,"11","Sufro mareos (vértigos)."
"22","12",,"12","Me desmayo o siento que voy a desmayarme"
"23","12",,"13","Puedo respirar fácilmente"
"24","12",,"14","Se me duermen y me hormiguean los dedos de las manos y de los pies."
"25","12",,"15","Sufro dolores de estómago e indigestión"
"26","12",,"16","Tengo que orinar con mucha frecuencia."
"27","12",,"17","Por lo general tengo las manos secas y calientes"
"28","12",,"18","La cara se me pone caliente y roja."
"29","12",,"19","Duermo fácilmente y descanso bien por las noches."
"30","12",,"20","Tengo pesadillas"
"31","8",,"1","Me siento desamparado cuando estoy solo"
"32","8",,"2","Me preocupa la idea de ser abandonado por mi pareja"
"33","8",,"3","Para atraer a mi pareja busco deslumbrarla o divertirla"
"34","8",,"4","Hago todo lo posible por ser el centro de atención en la vida de mi pareja"
"35","8",,"5","Necesito constantemente expresiones de afecto de mi pareja"
"36","8",,"6","Si mi pareja no llama o no aparece a la hora acordada me angustia pensar que está enojada conmigo"
"37","8",,"7","Cuando mi pareja debe ausentarse por algunos días me siento angustiado"
"38","8",,"8","Cuando discuto con mi pareja me preocupa que deje de quererme"
"39","8",,"9","He amenazado con hacerme daño para que mi pareja no me deje"
"40","8",,"10","Soy alguien necesitado y débil"
"41","8",,"11","Necesito demasiado que mi pareja sea expresiva conmigo"
"42","8",,"12","Necesito tener a una persona para quien yo sea más especial que los demás"
"43","8",,"13","Cuando tengo una discusión con mi pareja me siento vacío"
"44","8",,"14","Me siento muy mal si mi pareja no me expresa constantemente el afecto"
"45","8",,"15","Siento temor a que mi pareja me abandone"
"46","8",,"16","Si mi pareja me propone un programa dejo todas las actividades que tenga para estar con ella"
"47","8",,"17","Si desconozco donde está mi pareja me siento intranquilo"
"48","8",,"18","Siento una fuerte sensación de vacío cuando estoy solo"
"49","8",,"19","No tolero la soledad"
"50","8",,"20","Soy capaz de hacer cosas temerarias, hasta arriesgar mi vida, por conservar el amor del otro"
"51","8",,"21","Si tengo planes y mi pareja aparece los cambio sólo por estar con ella"
"52","8",,"22","Me alejo demasiado de mis amigos cuando tengo una relación de pareja"
"53","8",,"23","Me divierto solo cuando estoy con mi pareja"
"54","6",,"1","Siento gran necesidad de permanecer conectado(a) a las redes sociales"
"55","6",,"2","Necesito cada vez más tiempo para atender mis asuntos relacionados con las redes sociales"
"56","6",,"3","El tiempo que antes destinaba para estar conectado(a) a las redes sociales ya no me satisface, necesito más."
"57","6",,"4","Apenas despierto ya estoy conectándome a las redes sociales"
"58","6",,"5","No sé qué hacer cuando quedo desconectado(a) de las redes sociales"
"59","6",,"6","Me pongo de malhumor si no puedo conectarme a las redes sociales"
"60","6",,"7","Me siento ansioso(a) cuando no puedo conectarme a las redes sociales"
"61","6",,"8","Entrar y usar las redes sociales me produce alivio, me relaja"
"62","6",,"9","Cuando entro a las redes sociales pierdo el sentido del tiempo."
"63","6",,"10","Generalmente permanezco más tiempo en las redes sociales, del que inicialmente había destinado."
"64","6",,"11","Pienso en lo que puede estar pasando en las redes sociales."
"65","6",,"12","Pienso en que debo controlar mi actividad de conectarme a las redes sociales"
"66","6",,"13","Puedo desconectarme de las redes sociales por varios días."
"67","6",,"14","Me propongo sin éxito, controlar mis hábitos de uso prolongado e intenso de las redes sociales."
"68","6",,"15","Aun cuando desarrollo otras actividades, no dejo de pensar en lo que sucede en las redes sociales."
"69","6",,"16","Invierto mucho tiempo del día conectándome y desconectándome de las redes sociales."
"70","6",,"17","Permanezco mucho tiempo conectado(a) a las redes sociales."
"71","6",,"18","Estoy atento(a) a las alertas que me envían desde las redes sociales a mi teléfono o a la computadora"
"72","6",,"19","Descuido a mis amigos o familiares por estar conectado(a) a las redes sociales."
"73","6",,"20","Descuido las tareas y los estudios por estar conectado(a) a las redes sociales"
"74","6",,"21","Aun cuando estoy en clase, me conecto con disimulo a las redes sociales"
"75","6",,"22","Mi pareja, o amigos, o familiares; me han llamado la atención por mi dedicación y el tiempo que destino a las cosas de las redes sociales."
"76","6",,"23","Cuando estoy en clase sin conectar con las redes sociales, me siento aburrido(a)."
"77","6",,"24","Creo que es un problema la intensidad y la frecuencia con la que entro y uso la red social."
"78","7",,"1","¿Con qué frecuencia te conectas a Internet más de lo previsto?"
"79","7",,"2","¿Con qué frecuencia descuidas las actividades de la casa para estar más tiempo conectado?"
"80","7",,"3","¿Con qué frecuencia prefieres más la emoción que te produce estar conectado a la intimidad con tu pareja o la relación directa con tus amigos?"
"81","7",,"4","¿Con qué frecuencia formas nuevas relaciones con usuarios de Internet?"
"82","7",,"5","¿Con qué frecuencia las personas cercanas a ti se quejan por la cantidad de tiempo que permaneces conectado?"
"83","7",,"6","¿Con qué frecuencia tus calificaciones o actividades académicas se afectan negativamente por la cantidad de tiempo que permaneces en Internet?"
"84","7",,"7"," ¿Con qué frecuencia revisas tu correo electrónico antes de realizar otra tarea que necesita hacer?"
"85","7",,"8","¿Con qué frecuencia el tiempo que pasas en Internet afecta negativamente tu desempeño productividad en el trabajo?"
"86","7",,"9","¿Con qué frecuencia estás a la defensiva o te muestras reservado cuando alguien te pregunta qué haces en Internet?"
"87","7",,"10","¿Con qué frecuencia bloqueas los pensamientos desagradables de tu vida con pensamientos agradables relacionados con Internet?"
"88","7",,"11","¿Con qué frecuencia anticipas cuándo estarás conectado de nuevo?"
"89","7",,"12","¿Con qué frecuencia temes que la vida sin Internet sería aburrida, vacía o triste?"
"90","7",,"13","¿Con qué frecuencia te enfadas si alguien te molesta mientras estás conectado?"
"91","7",,"14","¿Con qué frecuencia te quedas sin dormir por conectarte durante la noche? "
"92","7",,"15","¿Con qué frecuencia te sientes preocupado por no estar conectado o imaginas estarlo?"
"93","7",,"16","¿Con qué frecuencia dices: “unos minutos más”, cuando estás conectado?"
"94","7",,"17","¿Con qué frecuencia tratas de disminuir el tiempo que pasas en Internet y no lo logras?"
"95","7",,"18","¿Con qué frecuencia intentas ocultar el tiempo que permaneces conectado?"
"96","7",,"19","¿Con qué frecuencia prefieres pasar más tiempo en Internet que salir con otras personas?"
"97","7",,"20","¿Con qué frecuencia te sientes deprimido, malhumorado o nervioso cuando no estás conectado, pero te sientes mejor cuando te conectas de nuevo?"
"98","15",,"1","Voy comprometiéndome a no tomar droga"
"99","15",,"2","Me molesta ser rechazado por los demás por el hecho de ser drogodependiente"
"100","15",,"3","Existen personas en mi vida diaria que se preocupan de que me sienta bien cuando no tomo droga"
"101","15",,"4","Ver a otros drogodependientes en pésimas condiciones físicas me hace sentir mal"
"102","15",,"5","Me siento a disgusto cuando pienso en mi problema con la droga"
"103","15",,"6","Pienso que mi vida familiar, afectiva o amorosa sería mejor si no tomase drogas"
"104","15",,"7","Me viene a la cabeza el recuerdo de artículos de periódico o programas de televisión o radio que hablan sobre los problemas con los que un drogadicto se encuentra al dejar la droga"
"105","15",,"8","A través de los medios de comunicación, conozco las campañas que se están llevando a cabo contra la droga"
"106","15",,"9","Creo que los drogadictos podemos llegar a ser personas tan útiles para la sociedad como cualquier otra persona si dejamos nuestra adicción"
"107","15",,"10","Pienso en la información que la gente me ha dado sobre los beneficios de dejar la droga"
"108","15",,"11","Sé que cada vez más la gente piensa que ser drogadicto significa ser delincuente o un enfermo de Sida"
"109","15",,"12","Quito de en medio cosas de mi casa que me provocan ganas de tomar droga"
"110","15",,"13","Cuando tengo ganas de tomar droga realizo alguna actividad física para que desaparezcan"
"111","15",,"14","Mi dependencia de la heroína me hace sentirme a disgusto conmigo mismo"
"112","15",,"15","Suelo abrirme o sincerarme con alguna persona para explicarle mis experiencias con la droga"
"113","15",,"16","Pienso en la información de artículos y anuncios del periódico o programas de televisión que hablan sobre como uno puede dejar de tomar drogas"
"114","15",,"17","Creo que el que yo tome droga perjudica a las personas que me rodean"
"115","15",,"18","Acostumbro a poner alrededor de los lugares en donde paso más horas (casa, habitación, trabajo, bar, etc), cosas que me recuerdan que no debo tomar drogas"
"116","15",,"19","El recordar que tomar drogas produce diversas enfermedades o problemas de salud, me afecta emocionalmente (me siento nervioso, preocupado, etc)."
"117","15",,"20","Evito ir a divertirme a lugares donde sé que van personas que consumen drogas"
"118","15",,"21","Para no tomar drogas, me vuelvo por barrios en donde no puedo encontrarla"
"119","15",,"22","Hay algunas personas especiales en mi vida que me aceptan como lo que soy, una persona, tanto si me drogo como si no me drogo"
"120","15",,"23","Me digo a mi mismo que soy capaz de dejar la droga si así lo quiero"
"121","15",,"24","Sé que los demás piensan que si tomo droga es porque soy una persona peligrosa y crea problemas, pero yo sé que no es cierto, y que quiero dejar la droga para demostrarlo"
"122","15",,"25","Cada vez más la gente de mi ciudad es consciente del problema de las toxicomanías y se están movilizando para prevenirlas"
"123","15",,"26","Creo que el tomar drogas afecta las relaciones que tengo con las demás personas"
"124","15",,"27","Cuando estoy tentado de tomar droga, pienso en cualquier otra cosa que pueda distraerme"
"125","15",,"28","Me digo a mí mismo que puedo escoger entre tomar droga y no tomarla"
"126","15",,"29","Recuerdo la información que la gente me ha dado sobre cómo dejar la droga"
"127","15",,"30","Pienso que para poder estar bien conmigo mismo debo dejar de tomar droga"
"128","15",,"31","Me felicito, me recompenso o me regalo a mí mismo cuando no tomo droga"
"129","15",,"32","Cuando necesito relajarme para enfrentarme a mis tensiones o problemas, hago otras cosas en lugar de drogarme"
"130","15",,"33","Evito encontrarme con amigos que sé que están tomando droga"
"131","15",,"34","Me afecta emocionalmente (me siento tenso, preocupado, etc.) cuando me advierten de los problemas de relación (familiares, de pareja o de amistad) que supone el tomar droga"
"132","15",,"35","Sé que alguien me felicitará o me recompensará si no tomo droga"
"133","15",,"36","Tengo a alguien con quien puedo contar cuando tengo problemas con la droga"
"134","15",,"37",". Me digo a mi mismo que si lo intento con bastante firmeza puedo estar sin tomar droga"
"135","15",,"38","Los consejos o advertencias sobre lo peligroso que resulta para la salud tomar droga me afecta emocionalmente (me siento nervioso, preocupado, etc.)"
"136","15",,"39","Tengo alguien que me escucha cuando necesito hablar sobre mi relación con la droga"
"137","15",,"40","Existen algunas personas que cuando no tomo droga me recompensan o me felicitan"
"138","3",,"1","¿Cuánto tiempo pasa entre que se levanta y fuma su primer cigarrillo?"
"139","3",,"2","¿Encuentra difícil no fumar en lugares donde está prohibido, como la biblioteca o el cine?"
"140","3",,"3","¿Qué cigarrillo le molesta más dejar de fumar?"
"141","3",,"4","¿Cuántos cigarrillos fuma cada día?"
"142","3",,"5","¿Fuma con más frecuencia durante las primeras horas después de levantarse que durante el resto del día?"
"143","3",,"6","¿Fuma aunque esté tan enfermo que tenga que guardar cama la mayor parte del día?"
"144","16",,"1","Intento convencer a los demás sobre lo que deberían pensar y sobre cómo se sienten verdaderamente "
"145","16",,"2","Me culpo o critico mucho "
"146","16",,"3","Me siendo forzado a ayudar a otras personas a resolver sus problemas (por ej. ofreciéndoles consejos) "
"147","16",,"4","Dejo de lado mis propios valores e integridad para evitar el rechazo o enojo de los demás "
"148","16",,"5","A veces no sé realmente como me siento "
"149","16",,"6","A veces me concentro en una persona hasta el punto de descuidar otras relaciones o responsabilidades "
"150","16",,"7","Es difícil para mí tomar decisiones "
"151","16",,"8","Creo que la mayoría de las otras personas son incapaces de cuidarse a sí mismos "
"152","16",,"9","Tengo que sentir que me necesitan para establecer relaciones o vínculos con los demás "
"153","16",,"10","Siento que mi salud general es peor que la de mis familiares y amigos "
"154","16",,"11","Cuando alguien lastima mis sentimientos o hace algo que no me agrada me resulta un poco difícil decírselo "
"155","16",,"12","No confío en mi mismo frente a situaciones nuevas tanto como yo quisiera "
"156","16",,"13","Hago a un lado mis propios valores o convicciones por aceptar los de mi pareja "
"157","16",,"14","Me resulta difícil saber lo que realmente quiero hacer de mi vida "
"158","16",,"15","Evito expresar mi opinión cuando se que es diferente a la de mi pareja o ala de otras personas "
"159","16",,"16","Tiendo a involucrarme en relaciones que son dolorosas para mi "
"160","16",,"17","Me siento cansado, agotado o enfermo "
"161","16",,"18","Valoro las opiniones y sentimientos de las otras personas más que mis propios opiniones o sentimientos, y tengo temor de expresarlos cuando son diferentes a los de los demás "
"162","16",,"19","Me resulta difícil manejar situaciones inesperadas "
"163","16",,"20","Me siento resentido o enojado cuando los demás no me permiten que los ayude "
"164","16",,"21","Me disculpo demasiado con los demás por lo que digo o hago "
"165","16",,"22","Me resulta difícil hablar con alguien con autoridad (jefe, profesor, padres, policía, etc) "
"166","16",,"23","Me preocupo mucho por los problemas de los demás "
"167","16",,"24","Tiendo a tener relaciones donde yo siempre estoy para los demás pero ellos raras veces están para mi "
"168","16",,"25","Acepto hacerme cargo de demasiadas cosas y después me pregunto porque lo hice "
"169","16",,"26","Tiendo a tener mejor opinión de los demás que de mí mismo "
"170","9",,"1","¿Guardas en secreto tus actividades sexuales o románticas a aquellas personas importantes en tu vida? ¿Llevas una doble vida?"
"171","9",,"2","¿Te han llevado tus necesidades a mantener relaciones sexuales en lugares, situaciones o con personas que no escogerías habitualmente?"
"172","9",,"3","¿Te sorprendes a ti mismo buscando artículos o escenas que te exciten sexualmente en periódicos, revistas u otros medios de comunicación?"
"173","9",,"4","¿Crees que tus fantasías románticas o sexuales interfieren en tus relaciones o te impiden afrontar los problemas?"
"174","9",,"5","¿Sientes el deseo de alejarte de tu pareja después de practicar el sexo? ¿Sientes a menudo remordimientos, vergüenza o culpabilidad después de una relación sexual?"
"175","9",,"6","¿Te avergüenza tu cuerpo o sexualidad hasta el punto de evitar tocar tu cuerpo o mantener relaciones sexuales? ¿Te preocupa no sentir deseo sexual?"
"176","9",,"7","¿Repite cada nueva relación los parámetros destructivos que motivaron la ruptura de tu relación actual?"
"177","9",,"8","¿Necesitas mayor variedad y frecuencia que antes en tus relaciones sexuales y románticas para alcanzar los mismos niveles de excitación y satisfacción"
"178","9",,"9","¿Corres el riesgo de ser detenido debido a prácticas tales como el “Voyeurismo”, exhibicionismo, pedofilia, llamadas telefónicas obscenas, etc?"
"179","9",,"10","¿Va tu búsqueda de sexo o de relaciones románticas en contra de tus creencias o de tus principios?"
"180","9",,"11","¿Incluyen tus relaciones sexuales riesgo, coacción o violencia?"
"181","9",,"12","¿Te ha dejado en alguna ocasión tu comportamiento sexual una sensación de desesperanza, de alineación de los demás, o un deseo de suicidio?"
"182","10",,"1","Me siento como si constantemente tuviese prisa y fuese en contra del reloj"
"183","10",,"2","Me irrito cuando alguien me interrumpe en el transcurso de una tarea"
"184","10",,"3","Siempre estoy ocupado y con muchos asuntos entre manos"
"185","10",,"4","Me comprometo con más actividades de las que puedo hacer"
"186","10",,"5","Me siento culpable cuando no estoy trabajando en algo."
"187","10",,"6","Permanezco frecuentemente en el trabajo una vez que mis compañeros se han ido ya."
"188","10",,"7","Me enfado cuando la gente no responde a mi modelo de perfección."
"189","10",,"8","Tiendo a estar bajo presión poniéndome yo mismo fechas límite para terminar las tareas."
"190","10",,"9","Me resulta difícil relajarme cuando no estoy trabajando."
"191","10",,"10","Paso más tiempo trabajando que en otro tipo de actividades (salidas con los amigos, aficiones, actividades de ocio, etc)"
"192","10",,"11","Me esfuerzo por ser el primero en todos los proyectos en los que me meto."
"193","10",,"12","Dedico más tiempo, energía y pensamientos a mi trabajo que las relaciones con los amigos y las personas queridas."
"194","11",,"1","¿Cree usted que tiene problemas de control con las compras?"
"195","11",,"2","¿Se suele sentir culpable por haber comprado o gastado más de lo planificado o por haber adquirido objetos innecesarios?"
"196","11",,"3","¿Ha intentado alguna vez dejar de comprar y no ha sido capaz de ello?"
"197","11",,"4","¿Suele recurrir a préstamos o créditos para ir de compras o para pagar deudas?"
"198","11",,"5","Intenta ocultar (o engañar sobre el precio de) lo comprado para evitar una reprobación de la familia"
"199","13",,"1","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"200","13",,"2","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"201","13",,"3","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"202","13",,"4","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"203","13",,"5","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"204","13",,"6","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"205","13",,"7","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"206","13",,"8","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"207","13",,"9","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"208","13",,"10","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"209","13",,"11","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"210","13",,"12","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"211","13",,"13","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"213","13",,"14","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"214","13",,"15","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"215","13",,"16","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"216","13",,"17","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"217","13",,"18","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"218","13",,"19","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"219","13",,"20","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"220","13",,"21","¿Cómo se ha sentido durante esta última semana, incluido en el día de hoy?"
"221","2",,"1","A lo largo de su vida, ¿cual de las siguientes sustancias ha consumido alguna vez?"
"222","2",,"2","En los últimos 3 MESES ¿con qué frecuencia ha consumido las siguientes drogas?"
"223","2",,"3"," En los últimos 3 MESES ¿con qué frecuencia ha tenido deseos fuertes o ansias de consumir las siguientes drogas?"
"224","2",,"4"," En los últimos 3 MESES ¿con qué frecuencia le ha llevado su consumo de las siguientes drogas a problemas de salud, sociales, legales o económicos?"
"225","2",,"5"," En los últimos 3 MESES ¿con qué frecuencia dejó de hacer lo que se esperaba de usted habitualmente por el consumo de las siguientes drogas?"
"226","2",,"6","¿Un amigo, un familiar o alguien más alguna vez ha mostrado preocupación por su consumo de las siguientes drogas?"
"227","2",,"7","¿Ha intentado alguna vez controlar, reducir o dejar de consumir las siguientes drogas y no lo ha logrado?"
"228","4",,"1","Señala qué tan fuerte es tu deseo de consumir varI en este momento (tan fuerte que casi puedes sentir su olor)."
"229","4",,"2","Señala qué tan intenso ha sido tu deseo de inhalar varI en el último mes."
"230","4",,"3","Señala la frecuencia con la que has deseado inhalar varI en el último mes"
"231","4",,"4","Durante el último mes, señala que tanta urgencia has tenido de inhalar varI cuando has estado frente a cosas que te lo recordaban (bolsa con pegamento, estopa, lata de PVC, olores, entre otras cosas)."
"232","4",,"5","Imagina que estás en una situación que te recuerda tu consumo de varI . Si estuvieras en esa situación en este momento, ¿Cuál sería la posibilidad de que inhalaras varI ?"
"233","4",,"6","¿Inhalarías varI tan pronto como se te presentará la ocasión?"
"234","4",,"7","Si en el último mes hubiera inhalado varI , no hubiese sido capaz de parar"
"235","4",,"8","Si en el último mes hubiera tenido delante de mí varI , me hubiera sido muy difícil no inhalarlo."
"236","4",,"9","Inhalar varI en el último mes me hubiera hecho sentir menos irritable o inquieto."
"237","4",,"10","Inhalar varI  en el último mes habría hecho que todo pareciese mejor"
"238","5",,"1","¿Cuál es la mayor cantidad de dinero que ha gastado en jugar en un solo día? (Promedio del euro 3.416 último año)"
"239","5",,"2","¿Tienen o han tenido sus padres algún problema con el juego?"
"240","5",,"3","Cuando usted juega dinero, ¿con que frecuencia vuelve otra vez a jugar para recuperar el dinero perdido?"
"241","5",,"4","¿Ha afirmado usted alguna vez haber ganado dinero en el juego cuando en realidad había perdido?"
"242","5",,"5","¿Cree usted que tiene o ha tenido alguna vez problemas con el juego?"
"243","5",,"6","¿Ha jugado alguna vez más dinero de lo que tenía pensado?"
"244","5",,"7","¿Le ha criticado la gente por jugar dinero?"
"245","5",,"8","¿Se ha sentido alguna vez culpable por jugar o por lo que le ocurre cuando juega?"
"246","5",,"9","¿Ha sentido alguna vez que le gustaría dejar de jugar, pero no se siente capaz de ello?"
"247","5",,"10","¿Ha ocultado alguna vez a su pareja, a sus hijos o a otros seres queridos billetes de lotería, fichas de apuestas, dinero obtenido en el juego u otros signos de juego?"
"248","5",,"11","¿Ha discutido alguna vez con las personas con las que convive sobre la forma de administrar el dinero?"
"249","5",,"12","(Si ha respondido sí a la pregunta anterior.) ¿Se han centrado alguna vez las discusiones de dinero sobre el juego?"
"250","5",,"13","¿Ha pedido en alguna ocasión dinero prestado a alguien y no se lo ha devuelto a causa del juego?"
"251","5",,"14","¿Ha perdido alguna vez tiempo de trabajo o de clase debido al juego?"
"252","5",,"15","¿Ha tomado del dinero de su casa para jugar o pagar deudas de juego?"
"253","5",,"16","¿Le ha tomado o pedido prestado dinero a su pareja para jugar o pagar deudas de juego?"
"254","5",,"17","¿Le ha tomado o pedido prestado dinero a otros familiares para jugar o pagar deudas de juego?"
"255","5",,"18","¿Le ha pedido prestado dinero a bancos o cajas de ahorro para jugar o pagar deudas de juego?"
"256","5",,"19","¿Ha usado tarjetas de crédito para jugar o pagar deudas de juego?"
"257","5",,"20","¿Le ha pedido prestado dinero a prestamistas para jugar o pagar deudas de juego?"
"258","5",,"21","¿Ha tomado dinero de la venta de acciones u otros valores bancarios para jugar o pagar deudas de juego?"
"259","5",,"22","¿Ha tomado dinero de la venta de propiedades personales o familiares para jugar o pagar deudas de juego?"
"260","5",,"23","¿Ha tomado dinero de la firma de cheques falsos o de extender cheques sin fondos para jugar o pagar deudas de juego?"
"261","5",,"24","¿Ha tomado dinero de una cuenta de crédito en el mismo casino para jugar o pagar deudas de juego?"
"262","14",,"1","¿Cuantos años tenías cuando fumaste un cigarrillo entero por primera vez?"
"263","14",,"2","¿Durante los últimos 30 días, cuantos días has fumado cigarrillos?"
"264","14",,"3","¿Durante los últimos 30 días, las veces que has fumado, cuantos cigarrillos te fumaste por día?"
"265","14",,"4","¿Durante los últimos 30 días, cómo has hecho para conseguir tus cigarrillos ?"
"266","14",,"5","¿Durante los últimos 30 días, cuantos días has fumado cigarrillos DENTRO de un lugar prohibido?"
"267","14",,"6","¿Si fumas, poco o mucho, has intentado alguna vez DEJAR de Fumar?"
"268","14",,"7","¿Qué edad tenías cuando tomaste el primer trago con tu propia voluntad?"
"269","14",,"8","¿Durante toda tu vida, cuantos días has tomado al menos UN TRAGO de alcohol o bebidas alcohólicas?"
"270","14",,"9","¿Durante los últimos 30 días, cuantos días has tomado al menos UN TRAGO de alcohol?"
"271","14",,"10","¿Durante los últimos 30 días, cuantos días has tomado al menos UN Trago DENTRO de un lugar que no esté permitido?"
"272","14",,"11","¿Cuantos años tenías cuando probaste la Marihuana por primera vez?"
"273","14",,"12","¿Durante toda tu vida, cuantas veces has fumado Marihuana?"
"274","14",,"13","¿Durante los últimos 30 días, cuantas veces fumaste Marihuana?"
"275","14",,"14","Cuantos años tenías cuando probaste por primera vez Cocaína, ya sea en polvo, Crack o pasta?"
"276","14",,"15","¿Durante toda tu vida, cuantas veces has usado Cocaína en cualquier forma, ya sea polvo, crack o pasta?"
"277","14",,"16","¿Durante los últimos 30 días, cuantas veces has usado Cocaína ya sea en polvo, Crack o pasta?"
"278","14",,"17","¿Durante toda tu vida cuantas veces has inhalado pega o has inhalado el contenido de pinturas o gasolina para ponerte en Onda?"
"279","14",,"18","¿Durante toda tu vida, cuantas veces has tomado droga en forma de pastillas para ponerte en Onda?"
"280","14",,"19","¿Durante toda tu vida, cuantas veces te has inyectado alguna droga ilegal ?"
"281","2",,"8","¿Ha consumido alguna vez alguna droga por vía inyectada? (únicamente para usos no médicos)"
